0P 1P 2P 3P 4P 5A 6A 7A 8A 9A 
15 15 15 15 15 10 10 10 10 10 
30 30 30 30 30 20 20 20 20 20 
45 45 45 45 45 30 30 30 30 30 
60 60 75 60 60 40 40 40 40 40 
75 75 105 75 75 50 50 50 50 50 
90 90 135 90 90 60 60 60 60 70 
105 105 165 120 105 70 70 70 70 90 
120 120 195 150 120 80 80 80 80 110 
135 135 225 180 135 90 90 90 90 130 
150 150 255 210 150 100 100 100 100 150 
165 180 285 240 165 120 110 110 120 170 
175 210 315 270 180 140 120 120 140 190 
175 240 345 300 195 160 130 130 160 210 
175 270 375 330 210 180 140 140 180 230 
175 300 405 360 225 200 150 150 200 249 
175 330 435 390 240 220 160 160 220 269 
175 360 465 435 255 240 170 170 240 289 
175 380 495 495 270 260 180 180 260 309 
175 395 518 555 285 280 190 190 280 329 
175 410 533 615 300 300 200 200 300 349 
175 425 548 675 315 320 210 210 320 369 
175 440 563 735 330 340 220 220 340 389 
175 455 578 795 345 360 230 224 360 409 
175 470 593 855 360 380 240 224 380 429 
175 485 608 915 375 400 250 224 400 449 
175 500 623 990 390 420 260 224 420 469 
175 515 638 1065 405 440 270 224 440 489 
175 530 653 1140 420 460 280 224 460 502 
175 545 668 1215 435 480 290 224 475 512 
175 575 683 1275 450 500 300 224 485 522 
175 605 698 1335 465 520 310 224 495 542 
175 635 713 1395 480 540 320 224 505 562 
175 665 728 1470 495 560 330 224 515 582 
175 695 743 1545 510 580 340 224 525 602 
175 725 758 1620 523 600 350 224 535 622 
175 755 773 1695 523 620 360 224 540 642 
175 785 788 1770 523 625 370 224 540 662 
175 830 803 1845 523 645 380 224 540 682 
175 875 818 1920 523 665 390 224 540 702 
175 920 833 1991 523 685 400 224 540 722 
175 965 848 2051 523 705 410 224 540 742 
175 1010 863 2111 523 725 420 224 540 762 
175 1055 878 2171 523 745 430 224 540 782 
175 1100 893 2231 523 765 440 224 540 802 
175 1145 908 2291 523 785 450 224 540 822 
175 1190 923 2351 523 805 460 224 540 842 
175 1235 938 2411 523 825 470 224 540 862 
